,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/saarland/15/2125-smart-schools-im-saarland,15,2125,Smart Schools im Saarland,written,2017-04-10,Die Grünen,Hubert Ulrich,Landesregierung
1,https://kleineanfragen.de/saarland/15/2124-folgen-der-zeitumstellung,15,2124,Folgen der Zeitumstellung,written,2017-04-01,Piraten,Jasmin Maurer,Landesregierung
2,https://kleineanfragen.de/saarland/15/2123-situation-chronisch-kranker-insbesondere-diabetischer-kinder-in-den-schulen,15,2123,"Situation chronisch kranker, insbesondere diabetischer Kinder in den Schulen",written,2017-03-28,Die Grünen,Klaus Kessler,Landesregierung
3,https://kleineanfragen.de/saarland/15/2122-auswirkungen-von-windkraftanlagen-auf-die-tierwelt,15,2122,Auswirkungen von Windkraftanlagen auf die Tierwelt,written,2017-03-20,Die Linke,Dagmar Ensch-Engel,Landesregierung
4,https://kleineanfragen.de/saarland/15/2121-flurbereinigungsverfahren-in-perl,15,2121,Flurbereinigungsverfahren in Perl,written,2017-03-20,Die Linke,Dagmar Ensch-Engel,Landesregierung
5,https://kleineanfragen.de/saarland/15/2120-notfallrettung-und-krankentransport-im-saarland,15,2120,Notfallrettung und Krankentransport im Saarland,written,2017-03-20,Die Linke,Birgit Huonker,Landesregierung
6,https://kleineanfragen.de/saarland/15/2119-it-forensik-bei-der-saarlaendischen-polizei,15,2119,IT Forensik bei der saarländischen Polizei,written,2017-03-20,Die Linke,Birgit Huonker,Landesregierung
7,https://kleineanfragen.de/saarland/15/2118-ueberstunden-und-krankenstand-in-der-saarlaendischen-polizei-2016,15,2118,Überstunden und Krankenstand in der saarländischen Polizei 2016,written,2017-03-20,Die Linke,Birgit Huonker,Landesregierung
8,https://kleineanfragen.de/saarland/15/2109-nachfrage-zur-antwort-der-landesregierung-auf-die-anfrage-betreffend-handwerksmeister-im-oeffentlichen-dienst,15,2109,Nachfrage zur Antwort der Landesregierung auf die Anfrage betreffend Handwerksmeister im öffentlichen Dienst [Drucksache 15/1924 (15/1874)],written,2017-03-13,Die Grünen,Klaus Kessler,Landesregierung
9,https://kleineanfragen.de/saarland/15/2103-windenergie-im-saarland-aktueller-stand,15,2103,Windenergie im Saarland - aktueller Stand,written,2017-03-01,Die Linke,Dagmar Ensch-Engel,Landesregierung
